ID	|T|	T	|V'|
T4.1	4	0,10,23,24	396
T4.2	4	6,16,21,22	347
T4.3	4	10,12,15,23	292
T4.4	4	3,18,24,26	382
T4.5	4	0,9,25,26	415
T4.6	4	6,17,20,25	364
T4.7	4	4,10,12,25	217
T4.8	4	1,6,15,19	420
T4.9	4	0,1,9,25	416
T4.10	4	0,7,20,21	383
T4.11	4	0,4,12,13	279
T4.12	4	3,7,15,21	341
T4.13	4	0,1,4,25	230
T4.14	4	2,7,19,20	517
T4.15	4	3,4,13,15	242
T4.16	4	0,11,15,19	412
T4.17	4	15,20,22,25	184
T4.18	4	4,7,14,15	277
T4.19	4	0,6,12,14	455
T4.20	4	1,10,17,19	336
T4.21	4	17,20,21,25	164
T4.22	4	5,6,13,16	689
T4.23	4	8,12,16,18	658
T4.24	4	0,1,18,19	439
T4.25	4	18,20,23,25	301
T4.26	4	5,6,15,18	717
T4.27	4	7,12,16,19	468
T4.28	4	0,2,18,21	382
T4.29	4	0,10,22,23	357
T4.30	4	4,6,16,20	399
T4.31	4	9,12,16,21	427
T4.32	4	1,10,14,20	261
T4.33	4	3,12,15,26	244
T4.34	4	5,6,13,24	687
T4.35	4	13,14,17,18	244
T4.36	4	0,11,16,20	347
T4.37	4	5,11,17,26	626
T4.38	4	4,5,15,26	615
T4.39	4	13,15,16,19	353
T4.40	4	12,19,20,26	355
T4.41	4	6,10,19,26	458
T4.42	4	7,17,22,25	225
T4.43	4	13,15,18,19	376
T4.44	4	12,19,21,26	314
T4.45	4	6,9,21,26	470
T4.46	4	0,7,20,22	392
T4.47	4	5,13,19,20	681
T4.48	4	5,7,14,21	720
T4.49	4	1,6,24,26	304
T4.50	4	4,7,18,20	341
T4.51	4	2,5,13,14	677
T4.52	4	7,8,13,20	691
T4.53	4	1,8,23,26	611
T4.54	4	5,6,9,22	752
T4.55	4	1,7,12,16	306
T4.56	4	9,10,12,20	417
T4.57	4	2,10,22,26	277
T4.58	4	5,8,9,21	830
T4.59	4	9,14,17,20	420
T4.60	4	2,8,12,20	633
T4.61	4	4,12,21,26	110
T4.62	4	5,7,11,23	732
T4.63	4	11,14,16,19	420
T4.64	4	5,12,18,22	685
T4.65	4	1,5,13,24	642
T4.66	4	3,4,8,10	663
T4.67	4	4,14,19,24	426
T4.68	4	2,7,18,21	408
T4.69	4	0,7,12,23	433
T4.70	4	5,6,7,10	773
T4.71	4	6,13,18,25	389
T4.72	4	1,9,19,21	464
T4.73	4	0,10,13,14	348
T4.74	4	6,7,8,9	792
T4.75	4	0,9,13,19	533
T4.76	4	1,11,21,22	119
T4.77	4	0,11,12,15	317
T4.78	4	5,6,7,10	773
T4.79	4	11,15,17,26	116
T4.80	4	13,15,19,23	366
T4.81	4	1,8,10,23	647
T4.82	4	1,7,20,22	292
T4.83	4	4,13,21,22	147
T4.84	4	13,15,19,25	296
T4.85	4	1,9,25,26	294
T4.86	4	1,7,19,24	466
T4.87	4	3,13,20,25	234
T4.88	4	0,13,15,20	272
T4.89	4	1,2,10,25	260
T4.90	4	2,7,19,26	495
T4.91	4	0,4,14,23	370
T4.92	4	3,13,17,20	241
T4.93	4	1,3,11,24	333
T4.94	4	1,5,8,11	801
T4.95	4	2,3,14,24	422
T4.96	4	13,20,22,25	189
T4.97	4	0,18,23,26	357
T4.98	4	8,12,19,21	595
T4.99	4	3,4,14,22	295
T4.100	4	12,20,25,26	179
T6.1	6	0,1,4,10,23,24	420
T6.2	6	1,6,14,16,21,22	418
T6.3	6	2,10,12,15,17,23	387
T6.4	6	3,6,17,18,24,26	521
T6.5	6	0,8,9,20,25,26	701
